arquitectura,hidden_dim,dropout,lr,n_params,val_auc,epochs_run,total_time_s
fc,128,0.3,0.001,131585,0.8764,5,51.0
fc,32,0.3,0.001,32897,0.8703,5,48.4
residual,32,0.3,0.001,33922,0.8696,11,118.1
fc,128,0.5,0.0001,131585,0.8687,8,79.8
residual,64,0.3,0.001,66818,0.8685,9,98.5
fc,64,0.3,0.001,65793,0.8675,5,49.4
residual,128,0.3,0.0001,132610,0.8671,5,54.9
residual,32,0.5,0.001,33922,0.8659,13,143.4
fc,64,0.3,0.0001,65793,0.8652,6,60.7
residual,128,0.5,0.001,132610,0.8648,6,66.3
residual,64,0.5,0.001,66818,0.8639,7,75.4
fc,128,0.3,0.0001,131585,0.8638,10,100.9
fc,32,0.5,0.0001,32897,0.8631,12,121.7
fc,64,0.5,0.001,65793,0.8631,6,60.4
attention,32,0.5,0.001,2132097,0.8628,6,73.2
fc,32,0.5,0.001,32897,0.8619,5,47.3
fc,64,0.5,0.0001,65793,0.8614,6,61.6
residual,32,0.3,0.0001,33922,0.861,6,67.3
residual,128,0.5,0.0001,132610,0.8588,8,84.6
residual,32,0.5,0.0001,33922,0.8584,10,107.5
fc,32,0.3,0.0001,32897,0.8567,8,79.8
attention,128,0.3,0.001,2230785,0.8556,9,111.6
residual,64,0.3,0.0001,66818,0.8529,11,119.5
residual,64,0.5,0.0001,66818,0.8519,9,101.5
fc,128,0.5,0.001,131585,0.8512,7,68.6
residual,128,0.3,0.001,132610,0.8457,7,77.3
linear,-,-,0.001,1025,0.8446,9,60.1
linear,-,-,0.0001,1025,0.8395,20,141.8
attention,128,0.3,0.0001,2230785,0.8334,5,61.7
attention,64,0.3,0.001,2164993,0.8327,10,123.0
attention,128,0.5,0.001,2230785,0.8319,5,62.9
attention,64,0.5,0.001,2164993,0.8301,8,99.5
attention,32,0.3,0.001,2132097,0.8283,7,86.6
attention,64,0.5,0.0001,2164993,0.8266,5,61.0
attention,64,0.3,0.0001,2164993,0.8255,5,58.7
attention,32,0.3,0.0001,2132097,0.8202,5,62.4
attention,32,0.5,0.0001,2132097,0.8198,6,73.5
attention,128,0.5,0.0001,2230785,0.8155,5,62.6
